url,img,text
index.html,None,Books to Scrape
index.html,None,Home
catalogue/category/books_1/index.html,None,Books
catalogue/category/books/travel_2/index.html,None,Travel
catalogue/category/books/mystery_3/index.html,None,Mystery
catalogue/category/books/historical-fiction_4/index.html,None,Historical Fiction
catalogue/category/books/sequential-art_5/index.html,None,Sequential Art
catalogue/category/books/classics_6/index.html,None,Classics
catalogue/category/books/philosophy_7/index.html,None,Philosophy
catalogue/category/books/romance_8/index.html,None,Romance
catalogue/category/books/womens-fiction_9/index.html,None,Womens Fiction
catalogue/category/books/fiction_10/index.html,None,Fiction
catalogue/category/books/childrens_11/index.html,None,Childrens
catalogue/category/books/religion_12/index.html,None,Religion
catalogue/category/books/nonfiction_13/index.html,None,Nonfiction
catalogue/category/books/music_14/index.html,None,Music
catalogue/category/books/default_15/index.html,None,Default
catalogue/category/books/science-fiction_16/index.html,None,Science Fiction
catalogue/category/books/sports-and-games_17/index.html,None,Sports and Games
catalogue/category/books/add-a-comment_18/index.html,None,Add a comment
catalogue/category/books/fantasy_19/index.html,None,Fantasy
catalogue/category/books/new-adult_20/index.html,None,New Adult
catalogue/category/books/young-adult_21/index.html,None,Young Adult
catalogue/category/books/science_22/index.html,None,Science
catalogue/category/books/poetry_23/index.html,None,Poetry
catalogue/category/books/paranormal_24/index.html,None,Paranormal
catalogue/category/books/art_25/index.html,None,Art
catalogue/category/books/psychology_26/index.html,None,Psychology
catalogue/category/books/autobiography_27/index.html,None,Autobiography
catalogue/category/books/parenting_28/index.html,None,Parenting
catalogue/category/books/adult-fiction_29/index.html,None,Adult Fiction
catalogue/category/books/humor_30/index.html,None,Humor
catalogue/category/books/horror_31/index.html,None,Horror
catalogue/category/books/history_32/index.html,None,History
catalogue/category/books/food-and-drink_33/index.html,None,Food and Drink
catalogue/category/books/christian-fiction_34/index.html,None,Christian Fiction
catalogue/category/books/business_35/index.html,None,Business
catalogue/category/books/biography_36/index.html,None,Biography
catalogue/category/books/thriller_37/index.html,None,Thriller
catalogue/category/books/contemporary_38/index.html,None,Contemporary
catalogue/category/books/spirituality_39/index.html,None,Spirituality
catalogue/category/books/academic_40/index.html,None,Academic
catalogue/category/books/self-help_41/index.html,None,Self Help
catalogue/category/books/historical_42/index.html,None,Historical
catalogue/category/books/christian_43/index.html,None,Christian
catalogue/category/books/suspense_44/index.html,None,Suspense
catalogue/category/books/short-stories_45/index.html,None,Short Stories
catalogue/category/books/novels_46/index.html,None,Novels
catalogue/category/books/health_47/index.html,None,Health
catalogue/category/books/politics_48/index.html,None,Politics
catalogue/category/books/cultural_49/index.html,None,Cultural
catalogue/category/books/erotica_50/index.html,None,Erotica
catalogue/category/books/crime_51/index.html,None,Crime
catalogue/a-light-in-the-attic_1000/index.html,media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,
catalogue/a-light-in-the-attic_1000/index.html,None,A Light in the ...
catalogue/tipping-the-velvet_999/index.html,media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,
catalogue/tipping-the-velvet_999/index.html,None,Tipping the Velvet
catalogue/soumission_998/index.html,media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,
catalogue/soumission_998/index.html,None,Soumission
catalogue/sharp-objects_997/index.html,media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,
catalogue/sharp-objects_997/index.html,None,Sharp Objects
catalogue/sapiens-a-brief-history-of-humankind_996/index.html,media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,
catalogue/sapiens-a-brief-history-of-humankind_996/index.html,None,Sapiens: A Brief History ...
catalogue/the-requiem-red_995/index.html,media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,
catalogue/the-requiem-red_995/index.html,None,The Requiem Red
catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,
catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,None,The Dirty Little Secrets ...
catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,
catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,None,The Coming Woman: A ...
catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,
catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,None,The Boys in the ...
catalogue/the-black-maria_991/index.html,media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,
catalogue/the-black-maria_991/index.html,None,The Black Maria
catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,
catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,None,Starving Hearts (Triangular Trade ...
catalogue/shakespeares-sonnets_989/index.html,media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,
catalogue/shakespeares-sonnets_989/index.html,None,Shakespeare's Sonnets
catalogue/set-me-free_988/index.html,media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,
catalogue/set-me-free_988/index.html,None,Set Me Free
catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,
catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,None,Scott Pilgrim's Precious Little ...
catalogue/rip-it-up-and-start-again_986/index.html,media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,
catalogue/rip-it-up-and-start-again_986/index.html,None,Rip it Up and ...
catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,
catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,None,Our Band Could Be ...
catalogue/olio_984/index.html,media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,
catalogue/olio_984/index.html,None,Olio
catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,
catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,None,Mesaerion: The Best Science ...
catalogue/libertarianism-for-beginners_982/index.html,media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,
catalogue/libertarianism-for-beginners_982/index.html,None,Libertarianism for Beginners
catalogue/its-only-the-himalayas_981/index.html,media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,
catalogue/its-only-the-himalayas_981/index.html,None,It's Only the Himalayas
catalogue/page-2.html,None,next
